Data,Empresa,Categoria,Produto,Quantidade,Quantidade Prevista,Preço,Preço Americanas,Preço Martins,Preço Vila Nova,Preço Recomendado Minimo,Preço Recomendado Medio,Preco AI
1/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6389.017927,7388.017927,1.99,2.29,1.69,2.09,1.64,2.02,1.83
1/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6382.337205,6300.337205,1.99,1.78,2.40,2.09,1.73,2.09,1.91
1/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6382.137062,6194.137062,1.99,1.30,1.69,1.85,1.26,1.61,1.44
1/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6539.802035,6780.802035,2.03,2.29,1.69,2.09,1.64,2.02,1.83
1/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6328.785522,6253.785522,2.43,2.61,1.84,2.09,1.78,2.18,1.98
1/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6612.207929,7027.207929,2.40,2.86,1.63,1.82,1.58,2.10,1.84
1/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6507.269965,5508.269965,2.83,2.29,1.28,1.93,1.24,1.83,1.54
1/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6651.168796,5866.168796,1.53,2.29,1.69,2.09,1.48,2.02,1.75
1/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6283.965541,5945.965541,2.39,1.62,1.21,1.50,1.17,1.44,1.31
1/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6362.509826,6186.509826,2.87,2.22,1.69,2.09,1.64,2.00,1.82
1/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6354.51003,6793.51003,1.09,2.29,1.02,2.09,0.99,1.80,1.39
1/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6546.601135,7233.601135,2.64,2.29,1.69,1.69,1.64,1.89,1.76
1/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6421.144519,5964.144519,1.99,2.29,1.82,2.09,1.77,2.07,1.92
1/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6709.877015,6813.877015,1.42,2.29,2.26,2.09,1.38,2.21,1.80
1/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6655.436928,5669.436928,1.99,2.29,1.90,2.02,1.84,2.07,1.96
1/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6428.155144,5747.155144,1.99,1.31,1.69,2.56,1.27,1.85,1.56
1/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6353.522519,7220.522519,1.99,1.83,2.29,2.09,1.78,2.07,1.92
1/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6678.26051,6315.26051,1.55,2.29,2.47,1.29,1.25,2.02,1.63
1/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6321.814356,6384.814356,2.13,3.19,0.89,2.22,0.86,2.10,1.48
1/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6283.157868,5801.157868,1.12,2.29,1.44,2.09,1.09,1.94,1.51
1/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6322.799024,6274.799024,1.99,1.48,0.99,2.62,0.96,1.70,1.33
1/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6393.284358,7093.284358,2.29,1.46,1.69,1.12,1.09,1.42,1.25
1/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6394.068913,5949.068913,1.99,2.94,1.80,2.09,1.75,2.28,2.01
1/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6632.507902,6654.507902,1.99,2.88,1.69,2.02,1.64,2.20,1.92
1/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6612.759066,5631.759066,1.53,2.29,2.03,2.85,1.48,2.39,1.94
1/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6293.10222,6923.10222,2.94,2.29,1.63,2.09,1.58,2.00,1.79
1/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6251.355505,7090.355505,2.56,2.68,1.69,2.09,1.64,2.15,1.90
1/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6551.281973,7021.281973,2.46,2.42,1.01,2.09,0.98,1.84,1.41
1/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6624.390308,6846.390308,1.99,2.92,1.05,2.09,1.02,2.02,1.52
1/30/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6393.336758,6654.336758,1.67,1.68,1.69,1.64,1.59,1.67,1.63
1/31/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6336.123316,6215.123316,1.99,2.29,1.69,2.09,1.64,2.02,1.83
2/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6349.306193,5624.306193,1.99,1.36,1.95,1.79,1.32,1.70,1.51
2/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6419.357034,6270.357034,1.12,1.60,2.30,2.77,1.09,2.22,1.65
2/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6370.124093,6441.124093,1.81,2.29,1.69,2.09,1.64,2.02,1.83
2/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6679.209002,7167.209002,2.43,3.15,2.59,2.80,2.36,2.85,2.60
2/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6730.194928,7417.194928,2.08,2.29,1.13,1.67,1.10,1.70,1.40
2/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6523.647804,6579.647804,2.89,2.24,1.61,2.42,1.56,2.09,1.83
2/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6582.072485,6381.072485,1.99,2.87,1.84,1.48,1.44,2.06,1.75
2/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6341.583212,7017.583212,1.02,2.63,1.69,2.09,0.99,2.14,1.56
2/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6724.164982,7058.164982,1.92,2.29,1.03,3.04,1.00,2.12,1.56
2/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6670.943539,6581.943539,1.15,1.66,2.31,3.05,1.12,2.34,1.73
2/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6680.736305,6834.736305,1.83,2.29,0.77,2.09,0.75,1.72,1.23
2/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6680.878585,6207.878585,2.06,2.29,1.08,3.06,1.05,2.14,1.60
2/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6263.676186,6111.676186,1.49,2.05,2.58,2.09,1.45,2.24,1.84
2/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6333.895856,5915.895856,2.52,1.96,1.09,2.09,1.06,1.71,1.39
2/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6595.997919,7540.997919,1.99,2.29,1.04,2.09,1.01,1.81,1.41
2/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6473.71176,6634.71176,2.73,2.29,1.69,2.22,1.64,2.07,1.85
2/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6408.897877,6413.897877,2.52,2.54,1.24,1.72,1.20,1.83,1.52
2/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6367.849796,6185.849796,1.69,1.37,1.30,2.09,1.26,1.59,1.42
